date,new cases,all cases,death cases
8-Mar,4,4,0
9-Mar,0,4,0
10-Mar,2,6,0
11-Mar,1,7,1
12-Mar,16,23,1
13-Mar,8,31,1
14-Mar,10,41,2
15-Mar,10,51,2
16-Mar,11,62,2
17-Mar,19,81,2
18-Mar,13,94,3
19-Mar,18,112,3
20-Mar,15,127,3
21-Mar,36,163,3
22-Mar,24,187,3
23-Mar,14,201,3
24-Mar,17,218,3
25-Mar,24,242,3
26-Mar,22,264,3
27-Mar,29,293,3
28-Mar,38,331,7
29-Mar,23,354,8
30-Mar,5,359,8
31-Mar,40,399,8
1-Apr,23,422,10
2-Apr,37,449,10
3-Apr,28,485,14
4-Apr,18,503,17
5-Apr,28,531,20
6-Apr,18,549,22
7-Apr,16,565,22
8-Apr,16,581,23
9-Apr,30,611,24
10-Apr,13,624,24
11-Apr,26,661,28
12-Apr,14,668,29
13-Apr,7,676,31
14-Apr,19,695,35
15-Apr,40,735,36
16-Apr,48,783,37
17-Apr,42,825,40
18-Apr,32,878,41
19-Apr,19,884,42
20-Apr,45,929,43
21-Apr,51,966,45
22-Apr,49,1015,47
23-Apr,66,1081,50
24-Apr,90,1171,52
25-Apr,76,1247,54
26-Apr,56,1290,56
27-Apr,58,1348,56
28-Apr,39,1387,58
29-Apr,50,1438,61
30-Apr,50,1488,65
1-May,53,1543,66
2-May,47,1588,69
3-May,23,1611,72
4-May,21,1632,73
5-May,57,1689,77
6-May,69,1758,82
7-May,53,1811,84
8-May,54,1865,84
9-May,46,1911,88
10-May,44,1955,90
11-May,34,1981,91
12-May,23,2004,93
13-May,65,2069,96
14-May,31,2100,99
15-May,38,2138,102
16-May,37,2175,105
17-May,36,2211,108
18-May,24,2235,110
19-May,24,2259,112
20-May,33,2292,116
21-May,39,2331,120
22-May,41,2372,125
23-May,36,2408,128
24-May,19,2427,130
25-May,6,2433,130
26-May,10,2443,130
27-May,17,2460,133
28-May,17,2477,134
29-May,8,2485,136
30-May,14,2499,139
31-May,14,2513,140
1-June,6,2519,140
2-June,19,2538,144
3-June,22,2560,146
4-June,25,2585,147
5-June,42,2627,159
6-June,41,2668,160
7-June,43,2711,160
8-June,16,2727,160